,АБАЗА,АБАКАН,АБАЛАКОВО,АДНИКАН,АДРИАНОВКА,АЗЕЙ,АЛЗАМАЙ,АМАЗАР,АМУР,АМУРСКИЙ ЗАЛИВ,АНГАРАКАН,АНГАРСК,АНГАСОЛКА,АНДРИАНОВСКАЯ,АНИСИМОВКА,АРСЕНЬЕВ,АРТЕМ-ПРИМОРСКИЙ I,АРТЕМ-ПРИМОРСКИЙ III,АРХАРА,АСКИЗ,АЧИНСК I,АЧИНСК II,БАГУЛЬНАЯ,БАЗАИХА,БАЗЫР,БАЙКАЛ,БАЙКАЛЬСК,БАЙРОНОВКА,БАЛБУХТА,БАМБУРОВО,БАМОВСКАЯ,БАРАНОВСКИЙ,БАТАРЕЙНАЯ,БЕЛОГОРСК,БЕЛОГОРСК II,БЕРКАКИТ,БЕСТУЖЕВО,БИКИН,БИРА,БИРОБИДЖАН I,БИРОБИДЖАН II,БИРОФЕЛЬД,БИСКАМЖА,БЛАГОВЕЩЕНСК,БЛОКПОСТ 1571 КМ,БЛОКПОСТ 197 КМ,БЛЮХЕР,БОГОТОЛ,БОЛЕН,БОЛЬШАЯ ИРБА,БОЛЬШОЙ КАМЕНЬ,БОЛЬШОЙ ЛУГ,БОЛЬШОЙ НЕВЕР,БОРЗЯ,БРАТСК,БУГАЧ,БУРЕЯ,БУРЯТСКАЯ,ВАНИНО,ВЕРХНЕЗЕЙСК,ВИХОРЕВКА,ВЛАДИВОСТОК,ВОЕННЫЙ ГОРОДОК,ВОЗДВИЖЕНСКИЙ,ВОЛОЧАЕВКА I,ВОЛОЧАЕВКА II,ВТОРАЯ РЕЧКА,ВЫСОКОГОРНАЯ,ВЯЗЕМСКАЯ,ГАЙДАМАК,ГАЛАЧИНСКИЙ,ГВОЗДЕВО,ГИДРОСТРОИТЕЛЬ,ГОЛУБИЧНАЯ,ГОНЧАРОВО,ГОРЕЛЫЙ,ГОРХОН,ГРОДЕКОВО,ГРОДЕКОВО (КИТАЙ),ГРОДЕКОВО II,ГУБЕРОВО,ГУРСКОЕ,ГУСИНОЕ ОЗЕРО,ДАБАН,ДАЛЬНЕРЕЧЕНСК I,ДАЛЬНЕРЕЧЕНСК II,ДЕЖНЕВКА,ДЗЕМГИ,ДИАБАЗОВЫЙ,ДИВНОГОРСК,ДИПКУН,ДОСАТУЙ,ДУБИНИНО,ДУБИНИНСКИЙ,ДУНАЙ,ДУССЕ-АЛИНЬ,ЕНИСЕЙ,ЕРБИНСКАЯ,ЕРОФЕЙ ПАВЛОВИЧ,ЖИПХЕГЕН,ЖИРЕКЕН,ЗАБАЙКАЛЬСК,ЗАВИТАЯ,ЗАГУСТАЙ,ЗАЛАРИ,ЗАОЗЕРНАЯ,ЗАУДИНСКИЙ,ЗВЕЗДНАЯ,ЗЕРЦАЛЫ,ЗИЛОВО,ЗИМА,ЗЛОБИНО,ЗУЙ,ЗУН-ТОРЕЙ,ЗЫКОВО,ИГИРМА,ИЗВЕСТКОВАЯ,ИКАБЬЯКАН,ИЛАНСКАЯ,ИРБА,ИРБЕЙСКАЯ,ИРКУТСК-ПАССАЖИРСКИЙ,ИРКУТСК-СОРТИРОВОЧНЫЙ,КАДАЛА,КАЗАНКАН,КАМЫШОВАЯ,КАМЫШТА,КАНЗЫБА,КАРАБУЛА,КАРЫМСКАЯ,КАСЬЯНОВКА,КАЯ,КИЖА,КИЛЬЧУГ,КИРЕНГА,КИТОЙ,КИТОЙ-КОМБИНАТСКАЯ,КИЯ-ШАЛТЫРЬ,КЛЮЧИ,КОМСОМОЛЬСК-НА-АМУРЕ,КОМСОМОЛЬСК-НА-АМУРЕ II,КОМСОМОЛЬСК-НА-АМУРЕ-СОРТИРОВОЧНЫЙ,КОРШУНИХА-АНГАРСКАЯ,КОШУРНИКОВО,КРАБОВАЯ,КРАСНАЯ СОПКА,КРАСНОАРМЕЙСКИЙ,КРАСНОКАМЕНСК,КРАСНОЯРСК,КРАСНОЯРСК-ВОСТОЧНЫЙ,КРАСНОЯРСК-СЕВЕРНЫЙ,КРУГЛИКОВО,КСЕНЬЕВСКАЯ,КУАНДА,КУВЫКТА,КУЗНЕЦОВО,КУЗНЕЦОВСКИЙ,КУЙТУН,КУЛТУК,КУЛЬДУР,КУН,КУНЕРМА,КУРАГИНО,КУЭНГА,ЛЕДЯНАЯ,ЛЕНА,ЛЕНА-ВОСТОЧНАЯ,ЛЕНИНСК,ЛЕСНАЯ,ЛЕСОСИБИРСК,ЛОЗОВЫЙ,ЛОПЧА,ЛУЧЕГОРСК,ЛУЧКИ,МАГДАГАЧИ,МАКАРЬЕВО,МАЛЬТА,МАРГУЦЕК,МАРИИНСК,МАХАЛИНО,МЕГЕТ,МЕЖДУРЕЧЕНСК,МИНУСИНСК,МОГЗОН,МОГОЙТУЙ,МОГОЧА,МОНГОХТО,МОНИ,МОРГУДОН,МОШКА,МЫЛКИ,МЫС АСТАФЬЕВА,МЫС-ЧУРКИН,МЫСОВАЯ,НАДЕЖДИНСКАЯ,НАЗАРОВО,НАНХЧУЛ,НАУШКИ,НАХОДКА,НАХОДКА-ВОСТОЧНАЯ,НЕБЕЛЬ,НЕРЮНГРИ-ГРУЗОВАЯ,НЕРЮНГРИ-ПАССАЖИРСКАЯ,НИЖНЕУДИНСК,НИЯ,НОВАЯ ЕЛОВКА,НОВАЯ ЧАРА,НОВОБИРЮСИНСКАЯ,НОВОКАЧАЛИНСК,НОВОНЕЖИНО,НОВОЧУГУЕВКА,НОВЫЙ УОЯН,НОВЫЙ УРГАЛ,ОБЛУЧЬЕ,ОЛЕКМА,ОЛОВЯННАЯ,ОРОСИТЕЛЬНЫЙ,ОУНЭ,ПАДУНСКИЕ ПОРОГИ,ПАРТИЗАНСК,ПЕРВАЯ РЕЧКА,ПЕРЕВАЛ,ПЕРЕВАЛЬНЫЙ,ПЕРЕВОЗ,ПЕТРОВКА,ПЕТРОВСКИЙ ЗАВОД,ПОДСИНИЙ,ПОКРОВКА-ПРИСТАНЬ,ПОСТ-ПОКРОВСКИЙ,ПОСТЫШЕВО,ПОСЬЕТ,ПОЯРКОВО,ПРИАМУРСКАЯ,ПРИАРГУНСК,ПРИГОРОДНЫЙ,ПРИИСКОВАЯ,ПРИМОРСКАЯ,РАЗЪЕЗД 557 КМ,РАССЫПНАЯ ПАДЬ,РЕЙНОВО,РЕШОТЫ,РОЗЕНГАРТОВКА,РУДНОГОРСК,РУЖИНО,РЫБНИКИ,САЯНСКАЯ,СЕВЕРОБАЙКАЛЬСК,СЕЛИХИН,СЕЛЬГОН,СИБИРЦЕВО,СКОВОРОДИНО,СЛЮДЯНКА I,СЛЮДЯНКА II,СМОЛЯНИНОВО,СОВЕТСКАЯ ГАВАНЬ- ГОРОД,СОВЕТСКАЯ ГАВАНЬ-СОРТИРОВОЧНАЯ,СОЛЛУ,СОЛНЦЕВАЯ,СОЛОВЬЕВСК,СОЛОНИ,СОН,СПАССК-ДАЛЬНИЙ,СРЕТЕНСК,СТРЕЛКОВАЯ,СУЛУК,СУРИКОВО,СУХАНОВКА,СУХОВСКАЯ,СУХОВСКАЯ-ЮЖНАЯ,СЮЛЬБАН,ТАГУЛ,ТАЙШЕТ,ТАКОВКА,ТАКСИМО,ТАЛАНДЖА,ТАЛДАН,ТАЛЬЦЫ,ТАРСКАЯ,ТАШЕБА,ТЕЯ,ТИГЕЙ,ТИМОНИНО,ТИСИН,ТИХООКЕАНСКАЯ,ТОКИ,ТОРЕЯ,ТУБИНСКАЯ,ТУЛУН,ТУМАННЫЙ,ТУНГУССКИЙ,ТУРГУТУЙ,ТУРМА,ТУШАМА,ТЫНДА,ТЫРМА,ТЫЯ,УГЛОВАЯ,УГОЛЬНАЯ,УДА II,УЖУР,УЛАН-УДЭ,УЛУЙ,УРГАЛ I,УРУЛЬГА,УРУЛЮНГУЙ,УРУША,УССУРИЙСК,УСТЬ-ИЛИМСК,УШМАН,УШУМУН,УЯР,ФЕВРАЛЬСК,ХАБАРОВСК I,ХАБАРОВСК II,ХАБЗАС,ХАНИ,ХАРАНОР,ХАРАНХОЙ,ХАСАН,ХИЛОК,ХМЫЛОВСКИЙ,ХОЛОДНЫЙ КЛЮЧ,ХОНЫХ,ХРЕБТОВАЯ,ЧЕГДОМЫН,ЧЕЛУТАЙ,ЧЕРЕМХОВО,ЧЕРНОГОРСКИЕ КОПИ,ЧЕРНОРЕЧЕНСКАЯ,ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬСКИЙ,ЧИТА I,ЧУДНИЧНЫЙ,ЧУНОЯР,ШАРЫПОВО,ШАХТАУМ,ШАХТЕРСКАЯ,ШИЛКА-ПАССАЖИРСКАЯ,ШИЛКА-ТОВАРНАЯ,ШИМАНОВСКАЯ,ШКОТОВО,ШМАКОВКА,ШТУРМ,ШУШЬ,ЩЕТИНКИНО,ЭБЕРГАРД,ЭВОРОН,ЭЛЬГА,ЭЛЬДИГАН,ЮКТАЛИ,ЮРТЫ,ЯГДЫНЬЯ,ЯКУРИМ,ЯРОСЛАВКА-ПРИМОРСКАЯ,ЯСНОГОРСК-ЗАБАЙКАЛЬСКИЙ
АБАЗА,0,13021,68221,339756,180886,83561,69034,226696,325971,368989,164018,104777,113434,112594,375065,368870,370236,370855,298436,6180,46759,45018,83094,55255,47280,128015,118122,66005,186598,380242,246913,365812,106309,284925,285585,287701,264934,340764,314234,317132,317672,320192,12657,297954,348030,386336,382222,50772,374832,21268,375607,109053,250165,200185,84180,56416,295653,184890,409891,296672,81829,371661,106622,364674,323698,324784,370882,388376,334355,371718,84537,386384,86967,171156,107970,247331,140896,371975,380783,371255,345315,376439,146195,137823,347610,347504,324304,364110,116147,59575,277794,216464,44040,363581,379207,351707,56455,17561,234335,151490,201339,212348,292465,144041,94250,49580,135205,118308,47771,203893,90816,56095,105630,199503,54156,108424,309137,203505,56644,20188,46755,107001,106435,171359,166884,389456,7996,26651,87229,178949,99330,107751,141916,44674,126816,104399,105220,51073,62317,362310,362641,361633,101367,26181,384037,38376,378367,214844,56995,54719,55386,329829,212799,183826,257990,381382,386516,86949,115475,312268,374445,135026,19432,194038,278701,113307,114267,325892,168156,70321,380482,244419,343383,362008,261917,101260,102184,212096,59338,387518,105824,23095,14219,162417,186647,220194,406661,376449,82549,327429,360675,384487,372342,125673,368452,41501,11277,152180,382162,383171,123467,289835,288789,75006,121265,49249,197934,70168,369928,373984,375727,155907,343932,306056,218882,191817,11297,384536,85947,379631,371298,166118,313976,89907,373927,143656,13552,326061,325521,372767,388018,302305,325333,218984,44418,191553,376402,25451,378383,257423,61440,338200,109987,350910,383647,43703,141882,368833,344172,360868,249263,115415,114995,372487,414685,411205,387296,186264,216265,349982,19540,357444,198898,375967,353392,55291,384457,105090,105377,187806,64487,65165,122045,174850,316741,255722,135758,179806,12420,16617,11449,47689,21678,383257,409399,77550,114607,82148,18488,324004,165684,80403,112967,262630,324569,140385,369552,369218,75546,33350,134603,43194,345455,181745,213704,242048,364353,118427,329421,269455,47722,329968,326662,327329,10497,211536,205328,150980,390758,153409,382871,302523,10877,103347,347305,138649,98500,13620,49297,198197,171974,116233,77254,44520,263897,198249,188892,188640,276185,371340,353217,249135,42120,29843,346470,376155,338166,369551,229028,63956,333476,113847,363808,192669
АБАКАН,13692,0,58856,326735,167865,70540,56013,213675,312950,355968,150997,91756,100413,99573,362044,355849,357215,357834,285415,7872,37394,35653,70073,42234,37915,114994,105101,52984,173577,367221,233892,352791,93288,271904,272564,274680,251913,327743,301213,304111,304651,307171,14349,284933,335009,373315,369201,41407,361811,8247,362586,96032,237144,187164,71159,43395,282632,171869,396870,283651,68808,358640,93601,351653,310677,311763,357861,375355,321334,358697,71516,373363,73946,158135,94949,234310,127875,358954,367762,358234,332294,363418,133174,124802,334589,334483,311283,351089,103126,46554,264773,203443,34675,350560,366186,338686,43434,8196,221314,138469,188318,199327,279444,131020,81229,36559,122184,105287,38406,190872,77795,43074,92609,186482,41135,95403,296116,190484,43623,7167,33734,93980,93414,158338,153863,376435,5396,13630,74208,165928,86309,94730,128895,31653,113795,91378,92199,41708,49296,349289,349620,348612,88346,13160,371016,29011,365346,201823,43974,41698,42365,316808,199778,170805,244969,368361,373495,73928,102454,299247,361424,122005,6411,181017,265680,100286,101246,312871,155135,60956,367461,231398,330362,348987,248896,88239,89163,199075,49973,374497,92803,24787,1198,149396,173626,207173,393640,363428,69528,314408,347654,371466,359321,112652,355431,32136,12969,139159,369141,370150,110446,276814,275768,61985,108244,39884,184913,57147,356907,360963,362706,142886,330911,293035,205861,178796,1932,371515,72926,366610,358277,153097,300955,76886,360906,130635,531,313040,312500,359746,374997,289284,312312,205963,35053,178532,363381,12430,365362,244402,48419,325179,96966,337889,370626,30682,128861,355812,331151,347847,236242,102394,101974,359466,401664,398184,374275,173243,203244,336961,10175,344423,185877,362946,340371,45926,371436,92069,92356,174785,51466,52144,109024,161829,303720,242701,122737,166785,669,18309,1447,38324,12313,370236,396378,64529,101586,69127,9123,310983,152663,67382,99946,249609,311548,127364,356531,356197,62525,23985,121582,33829,332434,168724,200683,229027,351332,105406,316400,256434,34701,316947,313641,314308,12189,198515,192307,137959,377737,140388,369850,289502,1962,90326,334284,125628,85479,1869,39932,185176,158953,103212,64233,35155,250876,185228,175871,175619,263164,358319,340196,236114,32755,16822,333449,363134,325145,356530,216007,50935,320455,100826,350787,179648
АБАЛАКОВО,67030,56752,0,334618,175748,78423,63896,221558,320833,363851,158880,99639,108296,107456,369927,363732,365098,365717,293298,61210,20221,21791,77956,35631,37001,122877,112984,60867,181460,375104,241775,360674,101171,279787,280447,282563,259796,335626,309096,311994,312534,315054,67687,292816,342892,381198,377084,24234,369694,64999,370469,103915,245027,195047,79042,33539,290515,179752,404753,291534,76691,366523,101484,359536,318560,319646,365744,383238,329217,366580,79399,381246,81829,166018,102832,242193,135758,366837,375645,366117,340177,371301,141057,132685,342472,342366,319166,358972,111009,38219,272656,211326,33761,358443,374069,346569,35099,47544,229197,146352,196201,207210,287327,138903,89112,44027,130067,113170,21233,198755,85678,35519,100492,194365,35711,103286,303999,198367,51091,63919,49388,101863,101297,166221,161746,384318,58734,62805,81676,173811,94192,102613,136778,45504,121678,99261,100082,40794,56764,357172,357503,356495,96229,60981,378899,28097,373229,209706,34439,35095,34416,324691,207661,178688,252852,376244,381378,81811,110337,307130,369307,129888,63163,188900,273563,108169,109129,320754,163018,2100,375344,239281,338245,356870,256779,96122,97046,206958,32800,382380,100686,78125,57950,157279,181509,215056,401523,371311,77411,322291,355537,379349,367204,120535,363314,25292,66307,147042,377024,378033,118329,284697,283651,69868,116127,20227,192796,64615,364790,368846,370589,150769,338794,300918,213744,186679,54700,379398,80809,374493,366160,160980,308838,84769,368789,138518,57283,320923,320383,367629,382880,297167,320195,213846,22109,186415,371264,61605,373245,252285,55887,333062,104849,345772,378509,46336,136744,363695,339034,355730,244125,110277,109857,367349,409547,406067,382158,181126,211127,344844,44491,352306,193760,370829,348254,12770,379319,99952,100239,182668,60692,60027,116907,169712,311603,250584,130620,174668,56151,71647,55180,18667,42451,378119,404261,72412,109469,77010,45854,318866,160546,75265,107829,257492,319431,135247,364414,364080,70408,32581,129465,22904,340317,176607,208566,236910,359215,113289,324283,264317,42169,324830,321524,322191,65527,206398,200190,145842,385620,148271,377733,297385,55300,98209,342167,133511,93362,57351,22759,193059,166836,111095,71701,34241,258759,193111,183754,183502,271047,366202,348079,243997,31841,57790,341332,371017,333028,364413,223890,58403,328338,108709,358670,187531
АДНИКАН,334249,320557,337869,0,160469,257818,272591,111858,44159,87177,195101,236736,227860,228700,93253,87058,88424,89043,38012,328429,316407,317977,273589,302290,333187,239353,223373,275725,172234,98430,91408,84000,235076,51968,51303,120093,97326,58952,32422,35320,35860,38380,334906,64997,66218,78639,100410,320420,35076,314122,93795,232363,88025,179768,273176,303451,40844,164473,102194,66789,273764,89849,235130,82862,41886,42972,89070,80679,52543,89906,271016,104572,268572,174146,233503,90988,199360,90163,98971,89443,63503,68742,216751,219918,65798,65692,42492,55059,265292,306610,85068,196047,329947,81769,97395,11951,303490,328753,103990,188104,137413,191931,43654,214597,246920,292889,205761,238745,317419,134457,250340,303130,236174,179086,301191,257569,27325,156190,285785,313042,291327,235103,234943,167907,191828,107644,325953,310737,306638,160289,241387,234533,197920,295239,230404,237118,237939,336980,279777,53259,52917,53936,254232,308913,102225,324283,96555,194427,304030,301754,302421,48017,125710,176430,103475,99570,78819,254136,226813,24561,66748,222685,314075,145106,58631,243792,242879,44080,171146,339969,98670,119151,61571,80196,75584,245169,239064,191679,328986,105706,235574,345344,319402,177930,166230,118250,98964,36693,273044,9317,54722,102675,90530,215757,86640,321478,333526,222736,100350,101359,233760,122227,121181,266509,236148,318897,162356,289577,88116,92172,93915,202925,4176,30270,142975,171400,322489,76839,269502,97819,89486,194528,22304,251061,92115,196480,320074,44249,43709,33011,106206,53494,43521,198567,318295,147585,94590,309537,96571,97265,280849,56388,259132,69098,101835,294268,216072,61136,62360,79056,89105,225973,226333,90675,106988,103508,79599,152819,195848,10226,330732,75632,149966,94155,13636,324939,102645,236390,237172,170226,277349,276684,235268,184100,20288,82239,205261,159389,321226,338866,322004,317337,332870,101445,101702,278084,263752,259285,329680,42192,174113,275144,262112,99743,12642,217480,87740,87406,266089,328767,206241,319090,5699,157347,193287,96389,82541,267572,6315,67953,294757,33707,44850,45517,332746,147873,184911,221536,108946,186114,101059,47714,322519,252492,7549,202004,242409,322426,313793,140762,167303,240713,296663,330427,98481,177832,150289,150488,60910,89528,71405,92792,328027,305722,64658,38773,1400,61854,133642,278312,3860,243252,81996,172252
АДРИАНОВКА,175887,162195,179507,160977,0,99456,114229,47917,147192,190210,184259,78374,69498,70338,196286,190091,191457,192076,119657,170067,158045,159615,136251,143928,174825,80991,65011,117363,161392,201463,68134,187033,76714,106146,106806,113972,91205,161985,135455,138353,138893,141413,176544,119175,169251,207557,203443,162058,196053,155760,196828,74001,71386,19299,137337,145089,116874,4004,231112,122943,134986,192882,76768,185895,144919,146005,192103,209597,155576,192939,137694,207605,140124,15784,75141,68552,40998,193196,202004,192476,166536,197660,58389,190980,168831,168725,145525,185331,169304,148248,104065,35578,171585,184802,200428,172928,145128,170391,55556,29742,22560,31462,113686,56235,88558,134527,47399,171465,159057,25114,91978,144768,77812,18617,142829,161581,130358,145348,127423,154680,132965,76741,76581,9545,180986,210677,167591,152375,148276,1927,83025,76171,39558,136877,179973,78756,79577,178618,121415,183531,183862,182854,154524,150551,205258,165921,199588,33958,145668,143392,144059,151050,34020,165588,92633,202603,207737,95774,68451,133489,195666,188183,155713,15259,99922,166464,167424,147113,12784,181607,201703,108309,164604,183229,83138,86807,80702,31210,170624,208739,77212,186982,161040,19568,5761,41415,227882,197670,135706,148650,181896,205708,193563,57395,189673,163116,175164,64374,203383,204392,176624,116106,115060,108147,174422,160535,151514,131215,191149,195205,196948,192083,165153,127277,132133,10931,164127,205757,139104,200852,192519,183686,135197,92699,195148,38118,161712,147282,146742,193988,209239,123526,146554,38098,159933,12774,197623,151175,199604,78644,122487,159421,163144,172131,204868,135906,195039,190054,165393,182089,70484,67611,67971,193708,235906,232426,208517,7485,35379,171203,172370,178665,20119,197188,174613,166577,205678,78028,78810,159384,118987,118322,175202,173258,137962,76943,46899,1027,162864,180504,163642,158975,174508,204478,230620,130707,167764,100923,171318,145225,15751,133560,166124,88901,145790,193542,190773,190439,107727,170405,47879,160728,166676,2966,32818,63269,185574,171584,150642,90676,136395,156239,147883,148550,174384,137031,24442,63174,211979,27752,204092,123744,164157,156504,168526,43642,84047,164064,155431,19418,8941,169390,138301,172065,90168,17363,10113,9861,97406,192561,174438,70356,169665,147360,167691,197376,159387,190772,122800,119950,154697,167004,185029,11783
АЗЕЙ,76431,62739,80051,256195,97325,0,14773,143135,242410,285428,117719,21216,29873,29033,291504,285309,286675,287294,214875,70611,58589,60159,36795,44472,75369,44454,34561,17907,140299,296681,163352,282251,22748,201364,202024,209190,186423,257203,230673,233571,234111,236631,77088,214393,264469,302775,298661,62602,291271,56304,292046,25492,166604,116624,37881,45633,212092,101329,326330,218161,35530,288100,23061,281113,240137,241223,287321,304815,250794,288157,38238,302823,40668,87595,24409,163770,57335,288414,297222,287694,261754,292878,62634,91524,264049,263943,240743,280549,69848,48792,199283,132903,72129,280020,295646,268146,45672,70935,150774,67929,117778,128787,208904,60480,10689,35071,51644,72009,59601,120332,7255,45312,22069,115942,43373,62125,225576,157206,27967,55224,33509,23440,22874,87798,120585,305895,68135,52919,48820,95388,15769,24190,58355,37421,80517,20838,21659,79162,21959,278749,279080,278072,55068,51095,300476,66465,294806,131283,46212,43936,44603,246268,129238,137527,187851,297821,302955,3388,31914,228707,290884,88727,56257,110477,195140,67008,67968,242331,84595,82151,296921,198120,259822,278447,178356,17699,18623,128535,71168,303957,22263,87526,61584,78856,103086,136633,323100,292888,36250,243868,277114,300926,288781,42112,284891,63660,75708,68619,298601,299610,77168,211324,210278,8691,74966,61079,151635,31759,286367,290423,292166,109608,260371,222495,172583,108256,64671,300975,39648,296070,287737,119819,230415,6346,290366,60095,62256,242500,241960,289206,304457,218744,241772,135423,60477,107992,292841,51719,294822,173862,23031,254639,63688,267349,300086,36450,95583,285272,260611,277307,165702,31854,31434,288926,331124,327644,303735,102703,132704,266421,72914,273883,115337,292406,269831,67121,300896,21529,21816,141507,19531,18866,75746,128551,233180,172161,52197,96245,63408,81048,64186,59519,75052,299696,325838,31251,68308,1467,71862,240443,82123,34104,66668,184119,241008,94086,285991,285657,8271,70949,51042,61272,261894,98184,130143,158487,280792,72128,245860,185894,36939,251457,243101,243768,74928,165237,121767,67419,307197,69848,299310,218962,64701,57048,263744,55088,14939,64608,55975,114636,88413,69934,38845,72609,185386,114688,105331,105079,192624,287779,269656,165574,70209,47904,262909,292594,254605,285990,182729,20494,249915,67548,280247,109108
АЛЗАМАЙ,61658,47966,65278,270722,111852,14527,0,157662,256937,299955,102946,35743,44400,43560,306031,299836,301202,301821,229402,55838,43816,45386,22022,29699,60596,58981,49088,3134,125526,311208,177879,296778,37275,215891,216551,223717,200950,271730,245200,248098,248638,251158,62315,228920,278996,317302,313188,47829,305798,41531,306573,40019,181131,131151,23108,30860,226619,115856,340857,232688,20757,302627,37588,295640,254664,255750,301848,319342,265321,302684,23465,317350,25895,102122,38936,178297,71862,302941,311749,302221,276281,307405,77161,76751,278576,278470,255270,295076,55075,34019,213810,147430,57356,294547,310173,282673,30899,56162,165301,82456,132305,143314,223431,75007,25216,20298,66171,57236,44828,134859,21782,30539,36596,130469,28600,47352,240103,142433,13194,40451,18736,37967,37401,102325,105812,320422,53362,38146,34047,109915,30296,38717,72882,22648,65744,35365,36186,64389,7186,293276,293607,292599,40295,36322,315003,51692,309333,145810,31439,29163,29830,260795,143765,122754,196918,312348,317482,17915,46441,243234,305411,73954,41484,125004,209667,52235,53195,256858,99122,67378,311448,183347,274349,292974,192883,32226,33150,143062,56395,318484,36790,72753,46811,93383,117613,151160,337627,307415,21477,258395,291641,315453,303308,56639,299418,48887,60935,83146,313128,314137,62395,225851,224805,5972,60193,46306,136862,16986,300894,304950,306693,94835,274898,237022,157810,122783,49898,315502,24875,310597,302264,105046,244942,20873,304893,74622,47483,257027,256487,303733,318984,233271,256299,149950,45704,122519,307368,36946,309349,188389,8258,269166,48915,281876,314613,21677,80810,299799,275138,291834,180229,46381,45961,303453,345651,342171,318262,117230,147231,280948,58141,288410,129864,306933,284358,52348,315423,36056,36343,126734,4758,4093,60973,113778,247707,186688,66724,110772,48635,66275,49413,44746,60279,314223,340365,16478,53535,13114,57089,254970,96650,19331,51895,198646,255535,79313,300518,300184,6512,56176,65569,46499,276421,112711,144670,173014,295319,57355,260387,200421,22166,265984,257628,258295,60155,150464,136294,81946,321724,84375,313837,233489,49928,42275,278271,69615,29466,49835,41202,129163,102940,55161,24072,57836,199913,129215,119858,119606,207151,302306,284183,180101,55436,33131,277436,307121,269132,300517,167956,5721,264442,52775,294774,123635
АМАЗАР,222391,208699,226011,113060,48611,145960,160733,0,99275,142293,136342,124878,116002,116842,148369,142174,143540,144159,71740,216571,204549,206119,182755,190432,221329,127495,111515,163867,113475,153546,20217,139116,123218,58229,58889,66055,43288,114068,87538,90436,90976,93496,223048,71258,121334,159640,155526,208562,148136,202264,148911,120505,23469,67910,183841,191593,68957,52615,183195,75026,181490,144965,123272,137978,97002,98088,144186,161680,107659,145022,184198,159688,186628,62288,121645,20635,87502,145279,154087,144559,118619,149743,104893,161159,120914,120808,97608,137414,206533,194752,56148,84189,218089,136885,152511,125011,191632,216895,7639,76246,25555,80073,65769,102739,135062,181031,93903,179986,205561,22599,138482,191272,124316,67228,189333,198810,82441,97431,173927,201184,179469,123245,123085,56049,133069,162760,214095,198879,194780,48431,129529,122675,86062,183381,171645,125260,126081,225122,167919,135614,135945,134937,195473,197055,157341,212425,151671,82569,192172,189896,190563,103133,13852,117671,44716,154686,159820,142278,114955,85572,147749,163926,202217,33248,52005,185033,184120,99196,59288,228111,153786,60392,116687,135312,35221,133311,127206,79821,217128,160822,123716,233486,207544,66072,54372,6392,179965,149753,182210,100733,133979,157791,145646,103899,141756,209620,221668,110878,155466,156475,175001,68189,67143,154651,177389,207039,103597,177719,143232,147288,149031,144166,117236,79360,84216,59542,210631,157840,185608,152935,144602,135769,87280,139203,147231,84622,208216,99365,98825,146071,161322,75609,98637,86709,206437,35727,149706,197679,151687,30727,168991,111504,200373,124214,156951,182410,157313,142137,117476,134172,22567,114115,114475,145791,187989,184509,160600,40961,83990,123286,218874,130748,38108,149271,126696,213081,157761,124532,125314,111467,165491,164826,176509,125341,90045,29026,93403,47531,209368,227008,210146,205479,221012,156561,182703,177211,204993,147427,217822,97308,62255,180064,203353,40984,97873,158721,142856,142522,154231,216909,94383,207232,118759,45489,81429,15352,137657,208813,102725,42759,182899,108322,99966,100633,220888,89114,73053,109678,164062,74256,156175,75827,210661,193733,120609,90146,130551,210568,201935,28904,55445,181954,184805,218569,42251,65974,38431,38630,49489,144644,126521,22439,216169,193864,119774,149459,111470,142855,74883,166454,106780,184493,137112,60394
