st_show_name;station;arr_dir;arr_graph;arrive;arrive18;arrive6;strip;strip18;strip6;dep_dir;dep_graph;depart;depart18;depart6;form;form18;form6
ОБЛУЧЬЕ;ТУНГУССКИЙ;чет;12;8;4;4;;;;неч;12;7;4;3;;;
ХАБАРОВСК II;ДЕЖНЕВКА;неч;8;2;1;1;;;;чет;8;4;2;2;;;
КОМСОМОЛЬСК-СОРТИРОВ;СЕЛЬГОН;неч;21;14;7;7;;;;чет;23;20;10;10;;;
ВЫСОКОГОРНАЯ;ВЫСОКОГОРНАЯ;;48;46;24;22;;;;;48;46;24;22;;;
ВАНИНО;МОНГОХТО;неч;22;22;12;10;;;;чет;26;24;12;12;;;
КОМСОМОЛЬСК-СОРТ.;БЛОКПОСТ 197 КМ;чет;26;24;12;12;;;;неч;22;22;12;10;;;
ВАНИНО;ВАНИНО;;40;27;14;13;27;14;13;;36;25;14;11;23;12;11
СОВЕТСКАЯ ГАВАНЬ-СОР;СОВЕТСКАЯ-ГАВАНЬ-СОРТИРОВОЧНАЯ;неч;2;2;1;1;2;1;1;чет;2;2;1;1;2;1;1
ВЫСОКОГОРНАЯ;ТОКИ;чет;26;24;12;12;24;12;12;неч;22;22;12;10;20;10;10
ХОЛМСК;####;неч;12;1;1;;1;1;;чет;12;1;1;;1;1;
ХОЛМСК;ХОЛМСК;;22;5;3;2;5;3;2;;21;5;3;2;5;3;2
ВЗМОРЬЕ;####;чет;8;2;1;1;2;1;1;неч;7;2;1;1;2;1;1
НЕВЕЛЬСК;####;неч;2;2;1;1;2;1;1;чет;2;2;1;1;2;1;1
ВАНИНО;####;чет;12;1;1;;1;1;;неч;12;1;1;;1;1;
ЮЖНО-САХАЛИНСК;ЮЖНО-САХАЛИНСК;;2;4;2;2;4;2;2;;2;4;2;2;4;2;2
КОРСАКОВ;####;неч;2;2;1;1;2;1;1;чет;2;2;1;1;2;1;1
ЮЖНО-САХАЛИНСК-ГРУЗО;####;чет;;2;1;1;2;1;1;неч;;2;1;1;2;1;1
ВЗМОРЬЕ;ВЗМОРЬЕ;;21;6;3;3;6;3;3;;22;6;3;3;6;3;3
ЮЖНО-САХАЛИНСК-ГРУЗО;####;неч;4;2;1;1;2;1;1;чет;4;2;1;1;2;1;1
ХОЛМСК;####;чет;7;2;1;1;2;1;1;неч;8;2;1;1;2;1;1
ЗАОЗЕРНОЕ-САХАЛИНСКО;####;чет;10;2;1;1;2;1;1;неч;10;2;1;1;2;1;1
ПОРОНАЙСК;ПОРОНАЙСК;;14;4;2;2;4;2;2;;14;4;2;2;4;2;2
ВАХРУШЕВ-САХАЛИНСКИЙ;####;неч;10;2;1;1;2;1;1;чет;10;2;1;1;2;1;1
ПОБЕДИНО-САХАЛИНСКОЕ;####;чет;4;2;1;1;2;1;1;неч;4;2;1;1;2;1;1
ТЫНДА;ТЫНДА;;50;42;21;21;14;7;7;;50;44;21;23;14;7;7
ХАНИ;КУВЫКТА;чет;14;12;6;6;4;2;2;неч;14;9;4;5;4;2;2
БЕРКАКИТ;добавить к Февральск;неч;13;12;6;6;2;1;1;чет;13;12;6;6;4;2;2
ШТУРМ;ШТУРМ;чет;13;12;6;6;4;2;2;неч;13;13;6;7;2;1;1
ФЕВРАЛЬСК;ШАХТАУМ;неч;10;6;3;3;4;2;2;чет;10;10;5;5;4;2;2
